id,text,label,Comments
76,"['kwanini', 'ligi', 'ya', 'tanzania', 'bara', 'inakua', 'kwa', 'kasi', 'bbc', 'news', 'swahili']",Habari za Michezo,
77,"['virusi', 'vya', 'corona', 'who', 'yaomba', 'tanzania', 'kutoa', 'takwimu', 'ya', 'walioambukizwa', 'corona', 'bbc', 'news', 'swahili']",Habari za Afya,
78,"['uchaguzi', 'kenya', '2022', 'je', 'wanamuziki', 'wana', 'ushawishi', 'gani', 'katika', 'siasa', 'za', 'kenya', 'bbc', 'news', 'swahili']",Habari za Siasa,
79,"['virusi', 'vya', 'coronatanzania', 'yatangaza', 'masharti', 'mapya', 'ya', 'covid19', 'kwa', 'wasafiri', 'wa', 'kimataifa', 'bbc', 'news', 'swahili']",Habari za Afya,
80,"['kilo', 'ya', 'misumari', 'visu', 'na', 'komeo', 'na', 'bisibisi', 'vyaondolewa', 'ndani', 'ya', 'tumbo', 'la', 'mwanaume', 'lithuania', 'bbc', 'news', 'swahili']",Habari za Uhalifu,
81,"['tetesi', 'tano', 'kubwa', 'jioni', 'hii', 'bbc', 'news', 'swahili']",Habari za Michezo,
82,"['je', 'unafahamu', 'nini', 'kuhusu', 'afya', 'ya', 'akili', 'bbc', 'news', 'swahili']",Habari za Afya,
83,"['je', 'watoto', 'wanaotokana', 'na', 'dna', 'za', 'watu', 'watatu', 'tofauti', 'wanahaki', 'ya', 'kujua', 'waliochangia', 'kuzaliwa', 'kwao', 'bbc', 'news', 'swahili']",Habari za Sayansi,
84,"['fahamu', 'dalili', 'za', 'magonjwa', 'manane', 'ya', 'figo', 'bbc', 'news', 'swahili']",Habari za Afya,
85,"['tetesi', 'za', 'soka', 'ulaya', 'jumatatu', '29052023', 'bbc', 'news', 'swahili']",Habari za Michezo,
